"","date","base_temp"
"205","1835",6970
"206","1836",7562
"207","1837",8411
"208","1838",7888
"209","1839",7359
"210","1840",7064
"211","1841",7592
"212","1842",7392
"213","1843",7639
"214","1844",8126
"215","1845",8743
"216","1846",8655
"217","1847",7836
"218","1848",9164
"219","1849",10871
"220","1850",12246
"221","1851",11533
"222","1852",9609
"223","1853",8460
"224","1854",8092
"225","1855",7640
"226","1856",8355
"227","1857",8875
"228","1858",8316
"229","1859",8678
"230","1860",9528
"231","1861",9641
"232","1862",9383
"233","1863",10980
"234","1864",10525
"235","1865",11540
"236","1866",11318
"237","1867",11509
"238","1868",13265
"239","1869",15836
"240","1870",16456
"241","1871",15624
"242","1872",18903
"243","1873",19993
"244","1874",20464
"245","1875",21802
"246","1876",22990
"247","1877",23641
"248","1878",24325
"249","1879",25491
"250","1880",27726
"251","1881",29403
"252","1882",33398
"253","1883",32945
"254","1884",33349
"255","1885",33929
"256","1886",34670
"257","1887",35716
"258","1888",36995
"259","1889",39754
"260","1890",39746
"261","1891",40215
"262","1892",41155
"263","1893",42427
"264","1894",43497
"265","1895",43842
"266","1896",43627
"267","1897",43427
"268","1898",43761
"269","1899",43253
"270","1900",43905
"271","1901",44662
"272","1902",45690
"273","1903",46180
"274","1904",46072
"275","1905",44338
"276","1906",44634
"277","1907",43892
"278","1908",42752
"279","1909",40944
"280","1910",41625
"281","1911",42146
"282","1912",42892
"283","1913",44448
"284","1914",39392
"285","1915",32963
"286","1916",36550
"287","1917",37073
"288","1918",36028
"289","1919",39708
"290","1920",37955
"291","1921",39647
"292","1922",39205
"293","1923",41117
"294","1924",40291
"295","1925",39682
"296","1926",39000
"297","1927",39037
"298","1928",39597
"299","1929",38263
"300","1930",37561
"301","1931",37942
"302","1932",36395
"303","1933",35803
"304","1934",36715
"305","1935",36022
"306","1936",35492
"307","1937",33331
"308","1938",31358
"309","1939",26566
"310","1940",18372
"311","1941",17491
"312","1942",16125
"313","1943",15909
"314","1944",13082
"315","1945",7557
"316","1946",7974
"317","1947",8094
"318","1948",7466
"319","1949",6634
"320","1950",5763
"321","1951",3080
"322","1952",2658
"323","1953",2133
"324","1954",2378
"325","1955",2344
"326","1956",2098
"327","1957",2045
"328","1958",2165
"329","1959",1681
"330","1960",1288
"331","1961",1046
"332","1962",1249
"333","1963",1055
"334","1964",1055
"335","1965",1088
"336","1966",1132
"337","1967",889
"338","1968",1026
"339","1969",1070
"340","1970",830
"341","1971",876
"342","1972",935
"343","1973",832
"344","1974",797
"345","1975",843
"346","1976",822
"347","1977",848
"348","1978",835
"349","1979",876
"350","1980",869
"351","1981",812
"352","1982",787
"353","1983",759
"354","1984",774
"355","1985",744
"356","1986",819
"357","1987",861
"358","1988",833
"359","1989",853
"360","1990",1002
"361","1991",814
"362","1992",796
"363","1993",831
"364","1994",804
"365","1995",857
"366","1996",825
"367","1997",759
"368","1998",743
"369","1999",631
"370","2000",635
"371","2001",551
"372","2002",506
"373","2003",480
"374","2004",466
"375","2005",392
"376","2006",359
"377","2007",342
"378","2008",311
"379","2009",286
"380","2010",196
"381","2011",187
"382","2012",178
"383","2013",142
"384","2014",116
"385","2015",105
"386","2016",71
"387","2017",54
"388","2018",39
"389","2019",7
"390","2020",0
"391","2021",0
