"","date","base_temp"
"1","1631",1
"2","1632",2
"3","1633",2
"4","1634",2
"5","1635",1
"6","1636",1
"7","1637",0
"8","1638",0
"9","1639",0
"10","1640",1
"11","1641",1
"12","1642",3
"13","1643",1
"14","1644",156
"15","1645",1
"16","1646",3
"17","1647",75
"18","1648",2
"19","1649",25
"20","1650",3
"21","1651",3
"22","1652",5
"23","1653",2
"24","1654",91
"25","1655",2
"26","1656",89
"27","1657",2
"28","1658",2
"29","1659",2
"30","1660",1
"31","1661",2
"32","1662",75
"33","1663",2
"34","1664",2
"35","1665",2
"36","1666",4
"37","1667",91
"38","1668",6
"39","1669",82
"40","1670",2
"41","1671",3
"42","1672",85
"43","1673",1
"44","1674",63
"45","1675",127
"46","1676",116
"47","1677",2
"48","1678",8
"49","1679",18
"50","1680",17
"51","1681",15
"52","1682",13
"53","1683",14
"54","1684",13
"55","1685",14
"56","1686",16
"57","1687",15
"58","1688",16
"59","1689",75
"60","1690",14
"61","1691",15
"62","1692",15
"63","1693",14
"64","1694",14
"65","1695",67
"66","1696",18
"67","1697",208
"68","1698",124
"69","1699",23
"70","1700",31
"71","1701",30
"72","1702",30
"73","1703",27
"74","1704",31
"75","1705",28
"76","1706",28
"77","1707",20
"78","1708",22
"79","1709",121
"80","1710",50
"81","1711",121
"82","1712",148
"83","1713",58
"84","1714",113
"85","1715",116
"86","1716",120
"87","1717",139
"88","1718",139
"89","1719",138
"90","1720",137
"91","1721",194
"92","1722",180
"93","1723",139
"94","1724",126
"95","1725",55
"96","1726",40
"97","1727",32
"98","1728",37
"99","1729",31
"100","1730",29
"101","1731",32
"102","1732",31
"103","1733",37
"104","1734",75
"105","1735",180
"106","1736",115
"107","1737",163
"108","1738",158
"109","1739",166
"110","1740",130
"111","1741",203
"112","1742",144
"113","1743",126
"114","1744",136
"115","1745",72
"116","1746",181
"117","1747",237
"118","1748",188
"119","1749",179
"120","1750",137
"121","1751",32
"122","1752",224
"123","1753",144
"124","1754",103
"125","1755",62
"126","1756",68
"127","1757",173
"128","1758",61
"129","1759",51
"130","1760",183
"131","1761",153
"132","1762",212
"133","1763",437
"134","1764",339
"135","1765",393
"136","1766",364
"137","1767",351
"138","1768",350
"139","1769",351
"140","1770",408
"141","1771",412
"142","1772",303
"143","1773",491
"144","1774",660
"145","1775",631
"146","1776",480
"147","1777",891
"148","1778",904
"149","1779",943
"150","1780",830
"151","1781",870
"152","1782",649
"153","1783",803
"154","1784",582
"155","1785",612
"156","1786",634
"157","1787",673
"158","1788",797
"159","1789",2435
"160","1790",4423
"161","1791",6036
"162","1792",4691
"163","1793",4200
"164","1794",3703
"165","1795",2577
"166","1796",3544
"167","1797",3993
"168","1798",3075
"169","1799",2764
"170","1800",2186
"171","1801",1957
"172","1802",2700
"173","1803",2387
"174","1804",2596
"175","1805",2285
"176","1806",2328
"177","1807",2418
"178","1808",2156
"179","1809",2451
"180","1810",2159
"181","1811",2178
"182","1812",2127
"183","1813",2218
"184","1814",2564
"185","1815",2635
"186","1816",3049
"187","1817",3035
"188","1818",3100
"189","1819",3658
"190","1820",3898
"191","1821",4384
"192","1822",4930
"193","1823",4810
"194","1824",4550
"195","1825",4409
"196","1826",5454
"197","1827",4674
"198","1828",5564
"199","1829",6254
"200","1830",6380
"201","1831",5591
"202","1832",5514
"203","1833",6701
"204","1834",6593
