url,titre
https://gallica.bnf.fr/html/und/presse-et-revues/maine-et-loire,Maine-et-Loire
https://gallica.bnf.fr/html/und/presse-et-revues/mayenne,Mayenne
https://gallica.bnf.fr/html/und/presse-et-revues/sarthe,Sarthe
https://gallica.bnf.fr/html/und/presse-et-revues/vendee,Vendée
https://gallica.bnf.fr/html/und/presse-et-revues/alpes-maritimes,Alpes Maritimes
https://gallica.bnf.fr/html/und/presse-et-revues/alpes-de-haute-provence,Alpes-de-Haute-Provence
https://gallica.bnf.fr/html/und/presse-et-revues/bouches-du-rhone,Bouches-du-Rhône
https://gallica.bnf.fr/html/und/presse-et-revues/hautes-alpes,Hautes-Alpes
https://gallica.bnf.fr/html/und/presse-et-revues/var,Var
https://gallica.bnf.fr/html/und/presse-et-revues/vaucluse,Vaucluse
