"","title","ark","is_quotidien"
"80","L'Union ","cb32882940w",TRUE
"81","Le Peuple ","cb34348990g",TRUE
"82","L'Action française ","cb326819451",TRUE
"83","Bulletin de la cote ","cb32745962x",TRUE
"84","L'Indépendant de la Charente Inférieure ","cb32789598m",TRUE
"85","La Dépêche du Berry ","cb34420510q",TRUE
"86","Bastia Journal ","cb32710201z",TRUE
"87","Le Midi socialiste ","cb32815893g",TRUE
"88","Gil Blas ","cb344298410",TRUE
"89","La Justice ","cb32802914p",TRUE
"90","L'Estafette ","cb327695777",TRUE
"91","La Croix du Nord ","cb32753198f",TRUE
"92","Le Monde ","cb345202222",TRUE
"93","Paris midi ","cb32832672n",TRUE
"94","Le Messager de Paris","cb32814929d",TRUE
"95","L'Ouest Éclair ","cb41193642z",TRUE
"96","La Libre parole ","cb328070581",TRUE
"97","Le Voltaire ","cb32892208p",TRUE
"98","Paris ","cb32832124d",TRUE
"99","La Quotidienne ","cb32846953c",TRUE
"100","Courrier de Tarn et","cb32750811r",TRUE
"101","L'Écho rochelais ","cb32763114s",TRUE
"102","Excelsior ","cb32771891w",TRUE
"103","L'Indépendant rémois ","cb32789920s",TRUE
"104","L'Autorité ","cb327073471",TRUE
"105","L'<U+008C>uvre ","cb34429265b",TRUE
"106","L'Ordre de Paris ","cb32829748j",TRUE
"107","Le Petit Oranais ","cb32837115n",TRUE
"108","L'Ouest Éclair ","cb41193663x",TRUE
"109","Le Courrier du soir ","cb327513390",TRUE
"110","Le Courrier ","cb32749956z",TRUE
"111","La Gazette de Biarritz Bayonne et Saint","cb32780235q",TRUE
"112","L'Avenir du Tonkin ","cb327087806",TRUE
"113","Les Nouvelles ","cb328263310",TRUE
"114","Express ","cb32772298w",TRUE
"115","L'Entr'acte ","cb32767513h",TRUE
"116","Journal de Seine et","cb327989004",TRUE
"117","L'Opinion nationale ","cb32829290z",TRUE
"118","Comoedia ","cb32745939d",TRUE
"119","La France militaire ","cb327779830",TRUE
"120","Journal officiel des établissements français dans l'Inde","cb32802121r",TRUE
"121","L'Homme libre ","cb32787196b",TRUE
"122","Le Courrier du Gard ","cb327512340",TRUE
"123","Paris presse","cb345038926",TRUE
"124","L'Action ","cb326821363",TRUE
"125","Journal officiel de la République française ","cb328020909",TRUE
"126","Feuilleton ","cb435153678",TRUE
"127","Le Guetteur de Saint Quentin et de l'Aisne","cb32784500v",TRUE
"128","Journal officiel de la République française","cb328020951",TRUE
"129","Paris soir ","cb34519208g",TRUE
"130","Impressions ","cb41372946v",TRUE
"131","Bulletin quotidien de presse étrangère","cb32732912f",TRUE
"132","Journal des villes et des campagnes","cb32800617d",TRUE
"133","L'Ère nouvelle ","cb327684871",TRUE
"134","L'Univers ","cb32885433z",TRUE
"135","Archives commerciales de la France ","cb32701198x",TRUE
"136","Der Elsässer","cb34396439w",TRUE
"137","Le Courrier de la Rochelle ","cb32750594f",TRUE
"138","Le Populaire ","cb34393339w",TRUE
"139","La Nation ","cb328222296",TRUE
"140","Le Républicain de Constantine","cb32852306f",TRUE
"141","Le Français ","cb32777221h",TRUE
"142","Bulletin de Paris ","cb32725313n",TRUE
