"","date","base_temp"
"451",1450,0
"452",1451,0
"453",1452,0
"454",1453,0
"455",1454,0
"456",1455,0
"457",1456,0
"458",1457,0
"459",1458,0
"460",1459,0
"461",1460,0
"462",1461,0
"463",1462,0
"464",1463,0
"465",1464,0
"466",1465,0
"467",1466,0
"468",1467,1
"469",1468,0
"470",1469,0
"471",1470,0
"472",1471,1
"473",1472,1
"474",1473,1
"475",1474,1
"476",1475,0
"477",1476,2
"478",1477,1
"479",1478,0
"480",1479,0
"481",1480,1
"482",1481,2
"483",1482,2
"484",1483,2
"485",1484,0
"486",1485,2
"487",1486,1
"488",1487,0
"489",1488,1
"490",1489,1
"491",1490,0
"492",1491,2
"493",1492,3
"494",1493,1
"495",1494,0
"496",1495,0
"497",1496,0
"498",1497,1
"499",1498,1
"500",1499,1
"501",1500,11
"502",1501,0
"503",1502,0
"504",1503,1
"505",1504,0
"506",1505,0
"507",1506,3
"508",1507,1
"509",1508,0
"510",1509,1
"511",1510,4
"512",1511,1
"513",1512,3
"514",1513,2
"515",1514,2
"516",1515,2
"517",1516,4
"518",1517,2
"519",1518,1
"520",1519,4
"521",1520,3
"522",1521,1
"523",1522,3
"524",1523,1
"525",1524,2
"526",1525,1
"527",1526,2
"528",1527,2
"529",1528,2
"530",1529,3
"531",1530,0
"532",1531,3
"533",1532,5
"534",1533,3
"535",1534,0
"536",1535,5
"537",1536,8
"538",1537,8
"539",1538,4
"540",1539,4
"541",1540,8
"542",1541,8
"543",1542,10
"544",1543,7
"545",1544,10
"546",1545,7
"547",1546,4
"548",1547,8
"549",1548,3
"550",1549,12
"551",1550,23
"552",1551,19
"553",1552,17
"554",1553,27
"555",1554,25
"556",1555,32
"557",1556,12
"558",1557,22
"559",1558,4
"560",1559,9
"561",1560,51
"562",1561,18
"563",1562,28
"564",1563,92
"565",1564,54
"566",1565,43
"567",1566,64
"568",1567,98
"569",1568,45
"570",1569,39
"571",1570,9
"572",1571,36
"573",1572,89
"574",1573,41
"575",1574,70
"576",1575,50
"577",1576,47
"578",1577,70
"579",1578,47
"580",1579,30
"581",1580,41
"582",1581,44
"583",1582,47
"584",1583,58
"585",1584,53
"586",1585,62
"587",1586,61
"588",1587,52
"589",1588,82
"590",1589,72
"591",1590,31
"592",1591,21
"593",1592,5
"594",1593,27
"595",1594,79
"596",1595,64
"597",1596,56
"598",1597,59
"599",1598,39
"600",1599,18
"601",1600,88
"602",1601,32
"603",1602,52
"604",1603,25
"605",1604,51
"606",1605,36
"607",1606,39
"608",1607,43
"609",1608,63
"610",1609,91
"611",1610,101
"612",1611,64
"613",1612,67
"614",1613,43
"615",1614,52
"616",1615,68
"617",1616,94
"618",1617,128
"619",1618,54
"620",1619,73
"621",1620,128
"622",1621,98
"623",1622,88
"624",1623,79
"625",1624,88
"626",1625,76
"627",1626,143
"628",1627,151
"629",1628,98
"630",1629,91
"631",1630,87
"632",1631,67
"633",1632,78
"634",1633,118
"635",1634,130
"636",1635,151
"637",1636,150
"638",1637,73
"639",1638,63
"640",1639,86
"641",1640,76
"642",1641,59
"643",1642,62
"644",1643,89
"645",1644,124
"646",1645,72
"647",1646,42
"648",1647,54
"649",1648,50
"650",1649,320
"651",1650,91
"652",1651,92
"653",1652,114
"654",1653,53
"655",1654,56
"656",1655,50
"657",1656,58
"658",1657,57
"659",1658,46
"660",1659,53
"661",1660,74
"662",1661,66
"663",1662,59
"664",1663,61
"665",1664,74
"666",1665,115
"667",1666,66
"668",1667,68
"669",1668,65
"670",1669,75
"671",1670,48
"672",1671,57
"673",1672,56
"674",1673,60
"675",1674,62
"676",1675,54
"677",1676,44
"678",1677,55
"679",1678,51
"680",1679,50
"681",1680,51
"682",1681,40
"683",1682,47
"684",1683,68
"685",1684,63
"686",1685,77
"687",1686,70
"688",1687,64
"689",1688,83
"690",1689,61
"691",1690,82
"692",1691,72
"693",1692,59
"694",1693,114
"695",1694,73
"696",1695,59
"697",1696,94
"698",1697,80
"699",1698,86
"700",1699,94
"701",1700,238
"702",1701,97
"703",1702,74
"704",1703,74
"705",1704,72
"706",1705,86
"707",1706,50
"708",1707,75
"709",1708,85
"710",1709,69
"711",1710,82
"712",1711,49
"713",1712,83
"714",1713,59
"715",1714,103
"716",1715,105
"717",1716,120
"718",1717,96
"719",1718,125
"720",1719,187
"721",1720,127
"722",1721,127
"723",1722,109
"724",1723,132
"725",1724,162
"726",1725,157
"727",1726,104
"728",1727,147
"729",1728,135
"730",1729,186
"731",1730,147
"732",1731,147
"733",1732,136
"734",1733,160
"735",1734,191
"736",1735,188
"737",1736,190
"738",1737,246
"739",1738,188
"740",1739,175
"741",1740,243
"742",1741,173
"743",1742,242
"744",1743,208
"745",1744,326
"746",1745,311
"747",1746,250
"748",1747,307
"749",1748,260
"750",1749,240
"751",1750,361
"752",1751,346
"753",1752,278
"754",1753,306
"755",1754,347
"756",1755,327
"757",1756,364
"758",1757,340
"759",1758,356
"760",1759,413
"761",1760,332
"762",1761,385
"763",1762,380
"764",1763,420
"765",1764,335
"766",1765,340
"767",1766,335
"768",1767,293
"769",1768,399
"770",1769,325
"771",1770,386
"772",1771,352
"773",1772,466
"774",1773,314
"775",1774,400
"776",1775,561
"777",1776,455
"778",1777,458
"779",1778,386
"780",1779,478
"781",1780,481
"782",1781,441
"783",1782,436
"784",1783,433
"785",1784,474
"786",1785,483
"787",1786,456
"788",1787,594
"789",1788,647
"790",1789,1565
"791",1790,2741
"792",1791,1214
"793",1792,964
"794",1793,1224
"795",1794,808
"796",1795,618
"797",1796,512
"798",1797,877
"799",1798,819
"800",1799,802
"801",1800,1813
"802",1801,630
"803",1802,748
"804",1803,689
"805",1804,609
"806",1805,461
"807",1806,555
"808",1807,471
"809",1808,446
"810",1809,357
"811",1810,535
"812",1811,611
"813",1812,595
"814",1813,575
"815",1814,981
"816",1815,1250
"817",1816,1031
"818",1817,1038
"819",1818,1211
"820",1819,1092
